category	day_of_week	description	incident_num	latitude	longitude	date	resolution
OTHER OFFENSES	Saturday	LOST/STOLEN LICENSE PLATE	130190030	37.7633123961354	-122.458220811697	2016-03-26T21:03:00Z	NONE
NON-CRIMINAL	Saturday	LICENSE PLATE, RECOVERED	130190030	37.7633123961354	-122.458220811697	2016-03-26T21:03:00Z	NONE
OTHER OFFENSES	Wednesday	TRAFFIC VIOLATION ARREST	160181576	37.7106886165247	-122.447596140416	2016-03-02T17:46:00Z	ARREST, BOOKED
NON-CRIMINAL	Wednesday	AIDED CASE, SICK PERSON	160183033	37.783240028248	-122.43355503388	2016-03-02T23:26:00Z	NONE
ASSAULT	Wednesday	INFLICT INJURY ON COHABITEE	160184150	37.7857883766888	-122.412970537591	2016-03-03T07:07:00Z	ARREST, BOOKED
OTHER OFFENSES	Thursday	TRAFFIC VIOLATION ARREST	160184774	37.7963478739442	-122.396962385547	2016-03-03T17:06:00Z	ARREST, BOOKED
LARCENY/THEFT	Wednesday	PETTY THEFT FROM A BUILDING	160184780	37.7841666882161	-122.401658663476	2016-03-03T00:00:00Z	NONE
NON-CRIMINAL	Friday	AIDED CASE, DOG BITE	160189310	37.8015711330929	-122.407772351517	2016-03-04T21:50:00Z	NONE
LARCENY/THEFT	Friday	PETTY THEFT FROM A BUILDING	160189326	37.7842224754433	-122.404037898963	2016-03-05T00:30:00Z	NONE
ASSAULT	Friday	BATTERY	160189348	37.7784153777349	-122.409939286664	2016-03-05T02:56:00Z	EXCEPTIONAL CLEARANCE
OTHER OFFENSES	Friday	TRAFFIC VIOLATION ARREST	160189401	37.7855804361702	-122.412857126524	2016-03-05T03:03:00Z	ARREST, BOOKED
NON-CRIMINAL	Friday	AIDED CASE	160189837	37.7437268170337	-122.48118317163	2016-03-05T05:34:00Z	NONE
LARCENY/THEFT	Monday	GRAND THEFT FROM LOCKED AUTO	160199682	37.7766654106523	-122.455119409574	2016-03-08T03:00:00Z	NONE
LARCENY/THEFT	Wednesday	PETTY THEFT SHOPLIFTING	160202611	37.7910545718408	-122.420713728356	2016-03-09T23:22:00Z	ARREST, BOOKED
WARRANTS	Friday	WARRANT ARREST	160207661	37.7816542806076	-122.415508242782	2016-03-11T22:09:00Z	ARREST, BOOKED
DISORDERLY CONDUCT	Wednesday	COMMITTING PUBLIC NUISANCE	160181316	37.775420706711	-122.403404791479	2016-03-02T14:17:00Z	ARREST, BOOKED
TRESPASS	Wednesday	LODGING WITHOUT PERMISSION	160181316	37.775420706711	-122.403404791479	2016-03-02T14:17:00Z	ARREST, BOOKED
NON-CRIMINAL	Wednesday	FIRE REPORT	160181322	37.775420706711	-122.403404791479	2016-03-02T11:38:00Z	NONE
TRESPASS	Wednesday	TRESPASSING	160181463	37.788239899778	-122.409256096494	2016-03-02T15:39:00Z	NONE
SUSPICIOUS OCC	Wednesday	INVESTIGATIVE DETENTION	160181463	37.788239899778	-122.409256096494	2016-03-02T15:39:00Z	NONE
DRUG/NARCOTIC	Wednesday	POSSESSION OF COCAINE FOR SALES	160182875	37.7827931071006	-122.414056291891	2016-03-02T23:38:00Z	ARREST, BOOKED
ASSAULT	Sunday	AGGRAVATED ASSAULT WITH A KNIFE	160213599	37.7988051605065	-122.429951447549	2016-03-14T06:48:00Z	NONE
